
These statistics were generated by MLife (v1.01.00a-gjh, 30-Oct-2015) on 15-Jul-2023 at 15:54:02 by MATLAB (R2022b) Update 2.


The analysis was based upon 96001 rows.

Description from the FAST input file: FAST Certification Test #18: NREL 5.0 MW Baseline Wind Turbine (Onshore)


    Channel       Minimum      Mean       Maximum     StdDev    Skewness    Kurtosis    Range    
      Time       5.00e+01    3.50e+02    6.50e+02    1.73e+02   -1.31e-08   1.80e+00   6.00e+02  
    WindVxi      8.11e+00    1.14e+01    1.52e+01    1.16e+00   3.57e-01    3.14e+00   7.05e+00  
    WindVyi      -2.94e+00   -9.81e-02   2.67e+00    8.58e-01   -1.23e-01   2.61e+00   5.61e+00  
    WindVzi      -2.12e+00   -1.77e-02   1.96e+00    5.51e-01   -4.08e-02   2.96e+00   4.08e+00  
    WaveElev     1.36e+02    2.49e+02    3.27e+02    3.11e+01   -4.13e-01   2.96e+00   1.91e+02  
    Wave1Vxi     -2.34e+02   -3.73e+01   1.56e+02    1.26e+02   -4.44e-03   1.51e+00   3.90e+02  
    Wave1Vyi     2.82e+02    5.71e+02    8.36e+02    1.26e+02   -9.43e-03   1.73e+00   5.54e+02  
    Wave1Vzi     -3.04e+03   1.20e+03    5.57e+03    2.62e+03   9.86e-03    1.52e+00   8.62e+03  
    Wave1Axi     4.17e+03    8.80e+03    1.18e+04    1.24e+03   -4.82e-01   3.08e+00   7.65e+03  
    Wave1Ayi     -8.06e+01   -2.07e+00   8.43e+01    4.22e+01   6.71e-02    1.71e+00   1.65e+02  
    Wave1Azi     -1.45e-02   1.10e+00    8.20e+00    2.01e+00   1.72e+00    4.77e+00   8.22e+00  
     GenPwr      7.65e-04    1.80e+02    3.60e+02    1.04e+02   4.77e-03    1.80e+00   3.60e+02  
     GenTq       2.72e+03    4.65e+03    5.76e+03    6.43e+02   -9.05e-01   3.17e+00   3.03e+03  
    HSSBrTq      1.04e+01    1.18e+01    1.28e+01    3.51e-01   -1.27e+00   6.25e+00   2.36e+00  
   BldPitch1     4.61e+02    7.20e+02    8.85e+02    7.58e+01   -8.36e-01   3.20e+00   4.23e+02  
   BldPitch2     2.47e+03    3.74e+03    4.56e+03    4.39e+02   -7.89e-01   2.86e+00   2.08e+03  
   BldPitch3     1.01e+03    1.15e+03    1.24e+03    3.40e+01   -1.27e+00   6.24e+00   2.30e+02  
    Azimuth      1.84e+00    4.82e+00    6.40e+00    7.92e-01   -6.33e-01   3.35e+00   4.56e+00  
    RotSpeed     -1.34e+00   -5.68e-01   1.47e-01    3.78e-01   -6.09e-02   1.67e+00   1.49e+00  
    GenSpeed     -5.75e-01   -3.33e-01   -4.53e-02   1.02e-01   1.56e-01    2.57e+00   5.30e-01  
     NacYaw      2.62e+03    4.39e+03    5.07e+03    6.01e+02   -9.22e-01   3.13e+00   2.45e+03  
   NacYawErr     2.62e+01    3.86e+01    4.51e+01    4.47e+00   -8.04e-01   2.81e+00   1.89e+01  
